Time (s),Speed (m/s),Acceleration (m/s2),Lift Resultant Force (N),Drag Resultant Force (N),CD
64.1,23.926404981119394,0.12166153986426258,4.017771914940288,-220.08798897121702,0.46545206521112936
64.2,23.92122586529786,0.12164844898061239,4.017912304667059,-220.08742144705093,0.4654545550185742
64.3,23.91605388891556,0.12163257440656922,4.017955356790616,-220.086842777505,0.4654570481242903
64.4,23.910889057190367,0.12161344047432003,4.017884552956453,-220.0862507947619,0.46545954465040795
64.5,23.905731375340164,0.12159057151605177,4.017683374810061,-220.08564333100418,0.4654620447198389
64.6,23.900580848582827,0.12156349186395139,4.017335303996933,-220.08501821841455,0.4654645484562783
64.7,23.89543748213623,0.12153172585020584,4.016823822162561,-220.08437328917557,0.4654670559842082
64.8,23.890301281183643,0.1214948432439145,4.0161339892516015,-220.08370658057726,0.46546956741762985
64.9,23.885172250087834,0.12145349087449561,4.015288278036993,-220.08302099187955,0.46547208260367967
65.0,23.880050392377306,0.12140941072176573,4.014347202497977,-220.08232436597322,0.46547460111591676
65.1,23.87493571154319,0.12136439382078437,4.013372980599498,-220.08162476718982,0.46547712251281687
65.2,23.86982821107662,0.1213202312066111,4.012427830306496,-220.080930259861,0.46547964634991124
65.3,23.86472789446873,0.12127871391430546,4.011573969583917,-220.08024890831823,0.4654821721797791
65.4,23.859634765210643,0.12124163297892701,4.010873616396703,-220.07958877689316,0.4654846995520425
65.5,23.854548826793497,0.12121077943553528,4.010388988709797,-220.07895792991732,0.4654872280133615
65.6,23.84947008270842,0.12118794431918983,4.010182304488143,-220.07836443172232,0.46548975710743146
65.7,23.84439853644655,0.1211749186649502,4.010315781696683,-220.07781634663974,0.46549228637498136
65.8,23.839334191499013,0.12117349350787594,4.01085163830036,-220.0773217390011,0.4654948153537734
65.9,23.834277051356942,0.1211854598830266,4.011852092264118,-220.07688867313803,0.4654973435786045
66.0,23.82922711951147,0.12121260882546171,4.013379361552901,-220.07652521338204,0.46549987058130865
66.1,23.824184399453728,0.12125673137024084,4.015495664131651,-220.0762394240648,0.46550239589076103
66.2,23.819148894561014,0.1213193087536153,4.018252456724777,-220.0760379716356,0.465504919111468
66.3,23.814120606530732,0.12139725035076436,4.021542386870296,-220.07590689327438,0.4655074410070862
66.4,23.809099535778966,0.12148397837989286,4.02513697144341,-220.0758164913212,0.4655099632337688
66.5,23.804085682689507,0.1215728272017561,4.028804675483352,-220.07573667168361,0.46551248748085794
66.6,23.799079047646156,0.12165713117710947,4.032313964029354,-220.07563734026905,0.4655150154486438
66.7,23.79407963103271,0.12173022466670831,4.03543330212065,-220.07548840298503,0.4655175488483931
66.8,23.78908743323296,0.12178544203130795,4.037931154796471,-220.07525976573905,0.465520089402395
66.9,23.784102454630705,0.12181611763166376,4.039575987096052,-220.07492133443853,0.4655226388440268
67.0,23.779124695609745,0.12181558582853107,4.040136264058624,-220.074443014991,0.46552519891783745
67.1,23.77415415655387,0.12177718098266525,4.039380450723421,-220.07379471330395,0.4655277713796508
67.2,23.76919083784688,0.12169423745482162,4.037077012129675,-220.07294633528488,0.46553035799665865
67.3,23.764234739872574,0.12156008960575555,4.03299441331662,-220.0718677868412,0.4655329605451042
67.4,23.759285863014746,0.12136807179622237,4.026901119323486,-220.0705289738805,0.46553558080846946
