0.01,0.642
0.02,0.647
0.03,0.634
0.04,0.622
0.05,0.611
0.06,0.601
0.07,0.595
0.08,0.593
0.09,0.59
0.1,0.587
0.11,0.585
0.12,0.583
0.13,0.581
0.14,0.579
0.15,0.577
0.16,0.575
0.17,0.574
0.18,0.573
0.19,0.571
0.2,0.57
0.21,0.569
0.22,0.568
0.23,0.567
0.24,0.566
0.25,0.566
0.26,0.565
0.27,0.565
0.28,0.564
0.29,0.564
0.3,0.564
0.31,0.564
0.32,0.564
0.33,0.564
0.34,0.564
0.35,0.564
0.36,0.564
0.37,0.564
0.38,0.565
0.39,0.565
0.4,0.565
0.41,0.566
0.42,0.566
0.43,0.567
0.44,0.568
0.45,0.568
0.46,0.569
0.47,0.57
0.48,0.571
0.49,0.572
0.5,0.573
0.51,0.574
0.52,0.575
0.53,0.576
0.54,0.578
0.55,0.58
0.56,0.582
0.57,0.584
0.58,0.586
0.59,0.588
0.6,0.591
0.61,0.593
0.62,0.596
0.63,0.599
0.64,0.602
0.65,0.606
0.66,0.609
0.67,0.613
0.68,0.616
0.69,0.62
0.7,0.624
0.71,0.624
0.72,0.623
0.73,0.622
0.74,0.621
0.75,0.62
0.76,0.619
0.77,0.618
0.78,0.617
0.79,0.616
0.8,0.615
0.81,0.627
0.82,0.638
0.83,0.649
0.84,0.66
0.85,0.671
0.86,0.682
0.87,0.693
0.88,0.704
0.89,0.715
0.9,0.727
0.91,0.731
0.92,0.746
0.93,0.79
0.94,0.856
0.95,0.921
0.96,0.986
0.97,1.052
0.98,1.117
0.99,1.183
1,1.248
1.01,1.314
1.02,1.379
1.03,1.444
1.04,1.51
1.05,1.575
1.06,1.637
1.07,1.701
1.08,1.769
1.09,1.839
1.1,1.913
1.11,1.889
1.12,1.854
1.13,1.823
1.14,1.796
1.15,1.771
1.16,1.748
1.17,1.727
1.18,1.708
1.19,1.69
1.2,1.673
1.21,1.658
1.22,1.644
1.23,1.63
1.24,1.618
1.25,1.606
1.26,1.594
1.27,1.584
1.28,1.574
1.29,1.564
1.3,1.555
1.31,1.546
1.32,1.538
1.33,1.53
1.34,1.522
1.35,1.515
1.36,1.508
1.37,1.501
1.38,1.494
1.39,1.488
1.4,1.482
1.41,1.476
1.42,1.47
1.43,1.465
1.44,1.46
1.45,1.454
1.46,1.449
1.47,1.445
1.48,1.44
1.49,1.435
1.5,1.431
1.51,1.426
1.52,1.422
1.53,1.418
1.54,1.414
1.55,1.41
1.56,1.406
1.57,1.403
1.58,1.399
1.59,1.396
1.6,1.392
1.61,1.389
1.62,1.386
1.63,1.382
1.64,1.379
1.65,1.376
1.66,1.373
1.67,1.37
1.68,1.367
1.69,1.365
1.7,1.362
1.71,1.359
1.72,1.357
1.73,1.354
1.74,1.352
1.75,1.35
1.76,1.347
1.77,1.345
1.78,1.343
1.79,1.341
1.8,1.338
1.81,1.337
1.82,1.335
1.83,1.333
1.84,1.331
1.85,1.33
1.86,1.328
1.87,1.326
1.88,1.325
1.89,1.323
1.9,1.321
1.91,1.319
1.92,1.318
1.93,1.316
1.94,1.315
1.95,1.313
1.96,1.311
1.97,1.31
1.98,1.308
1.99,1.307
2,1.305
2.01,1.304
2.02,1.302
2.03,1.301
2.04,1.299
2.05,1.298
2.06,1.296
2.07,1.295
2.08,1.294
2.09,1.292
2.1,1.291
2.11,1.289
2.12,1.288
2.13,1.287
2.14,1.285
2.15,1.284
2.16,1.283
2.17,1.281
2.18,1.28
2.19,1.279
2.2,1.277
2.21,1.276
2.22,1.275
2.23,1.274
2.24,1.272
2.25,1.271
2.26,1.27
2.27,1.268
2.28,1.267
2.29,1.266
2.3,1.265
2.31,1.264
2.32,1.262
2.33,1.261
2.34,1.26
2.35,1.259
2.36,1.257
2.37,1.256
2.38,1.255
2.39,1.254
2.4,1.253
2.41,1.251
2.42,1.25
2.43,1.249
2.44,1.248
2.45,1.247
2.46,1.246
2.47,1.244
2.48,1.243
2.49,1.242
2.5,1.241
2.51,1.24
2.52,1.239
2.53,1.238
2.54,1.237
2.55,1.235
2.56,1.234
2.57,1.233
2.58,1.232
2.59,1.231
2.6,1.23
2.61,1.229
2.62,1.228
2.63,1.227
2.64,1.226
2.65,1.225
2.66,1.224
2.67,1.223
2.68,1.221
2.69,1.22
2.7,1.219
2.71,1.218
2.72,1.217
2.73,1.216
2.74,1.215
2.75,1.214
2.76,1.213
2.77,1.212
2.78,1.211
2.79,1.21
2.8,1.209
2.81,1.208
2.82,1.207
2.83,1.206
2.84,1.205
2.85,1.204
2.86,1.203
2.87,1.202
2.88,1.201
2.89,1.2
2.9,1.2
2.91,1.199
2.92,1.198
2.93,1.197
2.94,1.196
2.95,1.195
2.96,1.194
2.97,1.193
2.98,1.192
2.99,1.191
3,1.189
